user_reported,action_taken,label,word_count,char_count,avg_word_length,has_number,uppercase_ratio,punctuation_count,has_harmful_keyword,harmful_keyword_count,post_hour,post_dayofweek,is_weekend,post_month,post_year,days_since_post,user_is_reported,action_flagged,city_freq,is_major_city,report_action_mismatch,harmful_no_action,no_keyword_but_action,keyword_and_reported,type_comment,type_status,type_replay,type_post,type_share,length_very_short,length_short,length_medium,length_long
0,1,0,14,73,5.214285714285714,0,0.0,9,0,0,0,2,0,11,2022,0,0,1,1,0,1,0,1,0,True,False,False,False,False,False,True,False,False
0,0,0,3,16,5.333333333333333,0,0.0,0,0,0,0,2,0,1,2020,1036,0,0,14,1,0,0,0,0,False,True,False,False,False,True,False,False,False
0,0,0,4,14,3.5,0,0.0,0,0,0,0,2,0,1,2020,1036,0,0,14,1,0,0,0,0,False,False,True,False,False,True,False,False,False
1,1,1,75,339,4.52,1,0.023598820058997,8,0,0,0,4,0,5,2021,544,1,1,6,1,0,0,1,0,False,False,False,True,False,False,False,False,True
0,0,0,10,49,4.9,0,0.0,3,1,1,0,2,0,1,2020,1036,0,0,1,0,0,1,0,0,False,True,False,False,False,False,True,False,False
0,1,1,8,45,5.625,0,0.0,1,1,1,0,6,1,4,2018,1648,0,1,2,0,1,0,0,0,False,False,False,False,True,False,True,False,False
0,0,0,5,27,5.4,0,0.0,0,0,0,0,5,1,2,2022,249,0,0,1,0,0,0,0,0,False,False,False,True,False,True,False,False,False
1,1,1,2,8,4.0,0,0.0,0,1,1,0,0,0,7,2020,849,1,1,1,0,0,0,0,1,False,False,False,True,False,True,False,False,False
1,0,0,6,39,6.5,0,0.0,0,0,0,0,0,0,9,2018,1514,1,0,1,0,1,0,0,0,True,False,False,False,False,False,True,False,False
1,2,1,12,46,3.8333333333333335,0,0.0,0,1,1,0,5,1,6,2019,1222,1,1,1,0,0,0,0,1,True,False,False,False,False,False,True,False,False
1,0,0,4,16,4.0,0,0.0,0,0,0,0,5,1,10,2019,1103,1,0,1,0,1,0,0,0,False,False,False,True,False,True,False,False,False
0,0,0,9,36,4.0,0,0.0,0,0,0,0,5,1,2,2019,1348,0,0,14,1,0,0,0,0,False,True,False,False,False,False,True,False,False
0,0,0,3,14,4.666666666666667,0,0.0,0,0,0,0,2,0,1,2020,1036,0,0,6,1,0,0,0,0,False,True,False,False,False,True,False,False,False
0,0,0,2,8,4.0,0,0.0,0,0,0,0,1,0,8,2021,456,0,0,14,1,0,0,0,0,True,False,False,False,False,True,False,False,False
0,1,0,7,36,5.142857142857143,0,0.0,3,0,0,0,2,0,1,2020,1036,0,1,1,1,1,0,1,0,False,True,False,False,False,False,True,False,False
1,1,1,4,20,5.0,0,0.0,0,1,1,0,3,0,9,2018,1511,1,1,1,0,0,0,0,1,False,False,False,False,True,True,False,False,False
0,2,1,7,37,5.285714285714286,0,0.0,3,1,3,0,5,1,12,2020,697,0,1,2,0,1,0,0,0,True,False,False,False,False,False,True,False,False
0,1,0,6,27,4.5,0,0.0,2,0,0,0,4,0,7,2022,117,0,1,1,0,1,0,1,0,False,False,False,True,False,False,True,False,False
0,2,1,5,21,4.2,0,0.0,0,1,1,0,1,0,4,2022,204,0,1,2,0,1,0,0,0,True,False,False,False,False,True,False,False,False
1,0,0,60,286,4.766666666666667,1,0.0,13,0,0,0,0,0,4,2022,198,1,0,6,1,1,0,0,0,False,False,False,True,False,False,False,False,True
0,0,0,6,23,3.8333333333333335,0,0.0,0,0,0,0,4,0,10,2020,740,0,0,1,0,0,0,0,0,False,False,False,False,True,False,True,False,False
1,2,1,5,23,4.6,0,0.0,1,1,1,0,4,0,4,2018,1650,1,1,1,0,0,0,0,1,False,False,False,True,False,True,False,False,False
1,2,1,7,29,4.142857142857143,0,0.0,0,1,1,0,1,0,8,2019,1177,1,1,14,1,0,0,0,1,False,False,False,True,False,False,True,False,False
1,0,0,12,55,4.583333333333333,0,0.0,6,0,0,0,1,0,1,2019,1401,1,0,14,1,1,0,0,0,False,False,False,True,False,False,True,False,False
0,0,0,6,27,4.5,0,0.0,1,0,0,0,1,0,1,2019,1401,0,0,14,1,0,0,0,0,False,False,False,True,False,False,True,False,False
1,1,1,15,84,5.6,0,0.0,7,1,1,0,2,0,1,2020,1036,1,1,14,1,0,0,0,1,True,False,False,False,False,False,True,False,False
1,1,1,15,70,4.666666666666667,0,0.0,1,1,1,0,3,0,5,2021,538,1,1,6,1,0,0,0,1,False,False,False,True,False,False,True,False,False
0,0,0,9,43,4.777777777777778,0,0.0,3,0,0,0,2,0,1,2020,1036,0,0,14,1,0,0,0,0,False,True,False,False,False,False,True,False,False
0,0,0,11,58,5.2727272727272725,0,0.0172413793103448,0,0,0,0,2,0,1,2020,1036,0,0,1,0,0,0,0,0,False,True,False,False,False,False,True,False,False
0,0,0,9,34,3.7777777777777777,0,0.0,0,0,0,0,4,0,11,2018,1454,0,0,6,1,0,0,0,0,True,False,False,False,False,False,True,False,False
0,0,0,3,13,4.333333333333333,0,0.0,1,0,0,0,5,1,2,2020,977,0,0,1,0,0,0,0,0,False,False,False,True,False,True,False,False,False
0,0,0,6,23,3.8333333333333335,0,0.0,0,0,0,0,3,0,3,2022,216,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,False,False
1,0,0,4,13,3.25,0,0.0,0,0,0,0,2,0,10,2018,1491,1,0,1,0,1,0,0,0,True,False,False,False,False,True,False,False,False
0,0,0,13,63,4.846153846153846,0,0.0,1,0,0,0,3,0,8,2018,1553,0,0,1,0,0,0,0,0,False,False,False,True,False,False,True,False,False
0,0,0,5,16,3.2,0,0.0,0,0,0,0,0,0,2,2020,1003,0,0,14,1,0,0,0,0,False,False,False,True,False,True,False,False,False
0,0,0,4,20,5.0,0,0.0,0,0,0,0,2,0,9,2022,42,0,0,1,0,0,0,0,0,False,False,False,False,True,True,False,False,False
0,0,0,5,16,3.2,0,0.0,0,0,0,0,1,0,4,2022,211,0,0,6,1,0,0,0,0,False,False,False,True,False,True,False,False,False
0,0,0,14,71,5.071428571428571,0,0.0,6,0,0,0,2,0,1,2020,1036,0,0,14,1,0,0,0,0,False,True,False,False,False,False,True,False,False
1,1,1,9,40,4.444444444444445,0,0.0,1,1,1,0,1,0,1,2019,1401,1,1,14,1,0,0,0,1,False,False,False,True,False,False,True,False,False
0,0,0,6,37,6.166666666666667,0,0.0,4,0,0,0,2,0,1,2020,1036,0,0,1,0,0,0,0,0,False,True,False,False,False,False,True,False,False
0,0,0,5,20,4.0,0,0.0,0,0,0,0,3,0,9,2021,426,0,0,2,0,0,0,0,0,False,False,False,True,False,True,False,False,False
1,2,1,2,12,6.0,0,0.0,0,0,0,0,6,1,9,2018,1501,1,1,1,0,0,0,1,0,True,False,False,False,False,True,False,False,False
0,0,0,4,16,4.0,0,0.0,0,0,0,0,1,0,8,2019,1163,0,0,1,0,0,0,0,0,False,False,False,True,False,True,False,False,False
1,1,1,71,323,4.549295774647887,1,0.0030959752321981,9,1,1,0,0,0,5,2021,541,1,1,14,1,0,0,0,1,False,False,False,True,False,False,False,False,True
0,0,0,2,19,9.5,0,0.0,3,0,0,0,2,0,1,2020,1036,0,0,14,1,0,0,0,0,False,False,False,False,True,True,False,False,False
0,0,0,7,34,4.857142857142857,0,0.0,0,0,0,0,3,0,11,2021,349,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,False,False
1,0,0,4,14,3.5,0,0.0,0,0,0,0,3,0,11,2018,1462,1,0,1,0,1,0,0,0,False,False,False,False,True,True,False,False,False
0,0,0,5,23,4.6,0,0.0,0,0,0,0,2,0,5,2019,1267,0,0,1,0,0,0,0,0,False,False,False,True,False,True,False,False,False
